title,volume,year,floor,row,section,notes
Puerto Rico Health Sciences Journal,v1-19,1923-1950,4th Floor,Row C,,
Puerto Rico Journal of Public Health and Tropical Medicine,,1885,1st Floor,Row P,,
Puget Sound Sanitarium and Prohibitionist,,1940,1st Floor,Row P,,
Pulse,,1929,1st Floor,Row P,,
Pulse (Emory Universtiy),,1957-59,1st Floor,Row P,,
Pulse and Pressure,v1-3,1947,4th Floor,Row C,,
Pulse Crown Point,,1942,1st Floor,Row P,,
Pulse New England,,1955-65,1st Floor,Row P,,
Pulse of Pharmacy,v9-19,1946-1949,4th Floor,Row C,,
Pulse South Africa,,1890-1892,1st Floor,Row P,,
Pulte Quarterly,,1938-1947,1st Floor,Row P,,
Punjab Medical Journal,,1955-1965,1st Floor,Row P,,
Punjab MJ,,1932-1949,AR,SHELF RANGE 5- Side A,,
Pure Culture Study of Bacteria,,1950,1st Floor,Row P,,
Pure Culture Study of Bacteria,v18,1901,4th Floor,Row C,,
Purity Journal,,1928-1934,1st Floor,Row P,,
PZH Prace Panstwowej Szholy Higjeny,,1954,1st Floor,Row M,,
Q.S. Digest,"v1,no.1-8",,4th Floor,Row C,,
Q145 W628 – QH 603 W92,,,7th Floor,"Range C, Starting South End & Ending North End",,
QH 603.E93 C392 – QT 34 R72,,,7th Floor,"Range B, Starting North End & Ending South End",,
QT 34 R73 – QU 85 E36,,1961-1988,7th Floor,"Range A, Starting South End & Ending North End",,
quaderni degli incontri ... Istituto Italiano di Medicina Sociale,,1953-1966,AR,SHELF RANGE 5- Side A,,
Quaderni della coagulazione,,1934-1949,AR,SHELF RANGE 5- Side A,,
Quaderni della Nutrizione,,1950-1971,1st Floor,Row P,,
Quaderni della nutrizione,,1954-1955,AR,SHELF RANGE 5- Side A,,
Quaderni di clinica ostetrica e ginecologica,,1915-1930,AR,SHELF RANGE 5- Side A,,
Quaderni di Psichiatria,,1937-1942,1st Floor,Row P,,
Quaderni di Radiologia,,1945-1946,1st Floor,Row P,,
Quaderni di Radiologia,,1931-1936,1st Floor,Row P,,
Quaderni di Radiologici,,5/1/2004,1st Floor,Row P,,
Qualitative Health Research,v14-15,1974-93,4th Floor,Row C,,
Quality Review Bulletin,v1-10,1978-1988,4th Floor,Row C,,
"Quality Review Bulletin, Special Edition",,1951,4th Floor,Row C,,
Quartely Bulletin Council for the International Congresses of Medical Sciences,v1,1932,4th Floor,Row C,,
Quarterly,,1818-1830,1st Floor,Row P,,
Quarterly  Journal of Science,,1958/1963,1st Floor,Row P,,
Quarterly (of the) Roscoe B. Jackson Memorial Laboratory,v6/11,1893-1895,4th Floor,Row D,,
Quarterly Atlas of Dermatology,,1931?,1st Floor,Row P,,
Quarterly Bulletin Imerial Bureau of Animal Genetics,,1903-1908,1st Floor,Row P,,
Quarterly Bulletin Medical Department of Washington University,,1901-1949,1st Floor,Row P,,
Quarterly Bulletin Northwestern University Medical School,,1935-1951,1st Floor,Row P,,
Quarterly Bulletin of Seaview Hospital,,1952-53,1st Floor,Row P,,
Quarterly Bulletin of Seaview Hospital,v13-14,1955,4th Floor,Row C,,
Quarterly Bulletin of the American Medical Writers Association,v5,1885-1887,4th Floor,Row C,,
Quarterly Bulletin of the Clinical Society of the NY Postgraduate Medical School,,1950-51,1st Floor,Row P,,
Quarterly Bulletin of the Council for the Co-ordination of internat. Cong of Med Sci,v1-2,1957-1963,4th Floor,Row C,,
Quarterly Bulletin of the Frontier Nursing Service,v33-38,1930-1943,4th Floor,Row C,,
Quarterly Bulletin of the Hackensack Hospital,,1932-1936,1st Floor,Row P,,
Quarterly Bulletin of the Health Organisation League of Nation,,1913-1918,1st Floor,Row P,,
Quarterly Bulletin of the Indiana State Dental Association,,1939-1950,1st Floor,Row P,,
Quarterly Bulletin of the Indiana University Medical Center,,1951-65,1st Floor,Row P,,
Quarterly Bulletin of the Indiana University Medical Center,v13-27,1926-1934,4th Floor,Row C,,
Quarterly Bulletin of the Managing Officers Associaton,,1912-1913,1st Floor,Row P,,
Quarterly Bulletin of the Massachusetts College of Pharmacology,,1925-1934,1st Floor,Row P,,
Quarterly Bulletin of the Medical Women's National Association,,1934-1939,1st Floor,Row P,,
Quarterly Bulletin of the New Jersey Hospital Association,,1956-58,1st Floor,Row P,,
Quarterly Bulletin of the New York League for the Hard of Hearing,v34-38,1950,4th Floor,Row C,,
Quarterly Bulletin of the Northwest Clinic,v1,1950-62,4th Floor,Row C,,
Quarterly Bulletin of the Northwestern University Medical  School,v24-36,1922,4th Floor,Row C,,
Quarterly Bulletin of the Pennsylvania State Dental Society,,1949???,1st Floor,Row P,,
Quarterly Bulletin of the South African Library,,1947,1st Floor,Row P,,
Quarterly Bulletin of the Students of the University of Oclahoma School of Medicine,,1922-1924,1st Floor,Row P,,
Quarterly Bulletin of the Vermont State Medical Society,,1940-1949,1st Floor,Row P,,
Quarterly Chicago Medical School,,1887-1907,1st Floor,Row P,,
Quarterly Circular,,1883-1889,1st Floor,Row P,,
Quarterly Compendium of Medical Science,,1880-1885,1st Floor,Row P,,
Quarterly Epitome,,"1849-1850, 1853",1st Floor,Row P,,
Quarterly Hemoeopathic Journal,,1854-1855,1st Floor,Row P,,
Quarterly Homeopathic Magazine,,1928-1928,1st Floor,Row P,,
Quarterly Jorunal of Pharmacy,,1868,1st Floor,Row P,,
Quarterly Jouornal of Psychological Medicine,,1949,1st Floor,Row P,,
Quarterly Journal of Child Behavior,,1950-52,1st Floor,Row P,,
Quarterly Journal of Child Behavior,v2-4 ,1857-1859,4th Floor,Row C,,
Quarterly Journal of Dental Science,,1908-1948,1st Floor,Row P,,
Quarterly Journal of Experimental Physiology,,1949-89,1st Floor,Row P,,
Quarterly Journal of Experimental Physiology,v35-74,1951-1980,4th Floor,Row C,,
Quarterly Journal of Experimental Psychology,3-32,1818-1823,4th Floor,Back Wall (started at East End),,
Quarterly Journal of Foreign Medicine and Surgery,,1877-1906,1st Floor,Row P,,
Quarterly Journal of Inebriety,,1907-1949,1st Floor,Row P,,
Quarterly Journal of Medicine,,1950-97,1st Floor,Row P,,
"Quarterly Journal of Medicine, New Series",v19-90,1853-1949,4th Floor,Row C,,
Quarterly Journal of Microscopial Science,,1950-1965,1st Floor,Row P,,
Quarterly Journal of Microscopical Science,,1995-2003,AR,SHELF RANGE 5- Side A,,
Quarterly Journal of Nuclear Medicine,v39-47,1870,4th Floor,Row C,,
Quarterly Journal of Pathological Anatomy of the Female Sexual Organs,,1959-78,1st Floor,Row P,,
Quarterly Journal of Speech,v45-64,1964-68,4th Floor,Row C,,
Quarterly Journal of St. Luke's Hospital,v1-5,1940-1949,4th Floor,Row C,,
Quarterly Journal of Studies on Alchohol,,"1941, 1944",1st Floor,Row P,,
Quarterly Journal of Studies on Alchohol Ley Supplement,,1950-1974,1st Floor,Row P,,
Quarterly journal of studies on alcohol,,1966-74,AR,SHELF RANGE 5- Side A,,
Quarterly Journal of Surgical Sciences,v1-10,1974,4th Floor,Row C,,
"Quarterly Journal of Surgical Sciences, Supplement",,"1853, 1857-55, 1861",4th Floor,Row C,,
Quarterly Journal of the Chemical Society,,1924-1927,1st Floor,Row P,,
Quarterly Journal of the Indian Chemical Society,,1910-1911,1st Floor,Row P,,
Quarterly Journal University of North Dakota,,1936,1st Floor,Row P,,
Quarterly Leaflet of Saint Mary's Hospital for Children,,1960-64,1st Floor,Row P,,
"Quarterly Magazine, Alumnae Association, Columbia Univ Sch of Nursing",v55-59,"1950-53, 1958-59",4th Floor,Row C,,
"Quarterly Magazine, Alumnae Association, Prebyterian Hosp Sch of Nursing","v45-48,53-54",1918-1919,4th Floor,Row C,,
Quarterly Medical Clinics,,1893-1903,1st Floor,Row P,,
Quarterly Medical Journal,,1935,1st Floor,Row P,,
Quarterly of the American Interprofessional Institute,,1936-1941,1st Floor,Row P,,
Quarterly of the Cornell Unviersity Medical College Allumni Association,,1913-1914,1st Floor,Row P,,
Quarterly of the Federation of State Medical Board of US,,1901-1904,1st Floor,Row P,,
Quarterly of the Harward Medical Alumni Association,,1928-1949,1st Floor,Row P,,
Quarterly of the Phi Beta Pi Medical Fraternity,,1949-59,1st Floor,Row P,,
Quarterly of the Phi Beta Pi Medical Fraternity,v46-56,1871-1872,4th Floor,Row C,,
Quarterly Paper of the Edinburgh Medical Missionary Society,,1887-1891,1st Floor,Row P,,
Quarterly Papers of the Edinburgh Medical Missionary Society,,1900,1st Floor,Row P,,
Quarterly Record,,1965-69,1st Floor,Row P,,
Quarterly Report on Disaster Medical Care,v1-5,1951-56,4th Floor,Row C,,
Quarterly Review of Allergy and Applied Immunology,v5-10,1947-1950,4th Floor,Row C,,
Quarterly Review of Applied Immunology,,1926-1949,1st Floor,Row P,,
Quarterly Review of Biology,,1950-88,1st Floor,Row P,,
Quarterly Review of Biology,v25-63,1946-1948,4th Floor,Row D,,
Quarterly Review of Dermatology,,1953-59,1st Floor,Row P,,
Quarterly Review of Harefuah,no.7-12,1950-52,4th Floor,Row D,,
Quarterly Review of Internal Medicine and Dermatology,v7-9,1943-1949,4th Floor,Row D,,
Quarterly Review of Medicine,,1888-1889,1st Floor,Row P,,
Quarterly Review of Narcotic Inebriety,,1943-1948,1st Floor,Row P,,
Quarterly Review of Obstetrics and Gynecology,,1949-52,1st Floor,Row P,,
Quarterly Review of Obstetrics and Gynecology,v7-10,1945-1949,4th Floor,Row D,,
Quarterly Review of Ophthalmology,,1951,1st Floor,Row P,,
Quarterly Review of Ophthalmology,v7,"1950, 1951",4th Floor,Row D,,
Quarterly Review of Ophthalmology Otorhinolaryngology and Bronchoesophagology,"v6, 10",1942-1949,4th Floor,Row D,,
Quarterly Review of Otorhinolaryngology,,1946-1949,1st Floor,Row P,,
Quarterly Review of Pediatrics,,1950-62,1st Floor,Row P,,
Quarterly Review of Pediatrics,v5-17,1946-1948,4th Floor,Row D,,
Quarterly Review of Psychiatry and Neurology,,1949-1952,1st Floor,Row P,,
Quarterly Review of Psychiatry and Neurology,v4-7,1943-1949,4th Floor,Row D,,
Quarterly Review of Surgery,,1950-51,1st Floor,Row P,,
Quarterly Review of Surgery,v7-8,1952-61,4th Floor,Row D,,
"Quarterly Review of Surgery, Obstetrics and Gynecology",v9-18,1946-1948,4th Floor,Row D,,
Quarterly Review of Urology,,1949-50,1st Floor,Row P,,
Quarterly Review of Urology,v4-5,1936-1946,4th Floor,Row D,,
Quarterly Review: New York City Cancer Committee,,"1938, 1940, 1942",1st Floor,Row P,,
Quarterly Review: Passavant Memorial Hospital,,1949-66,1st Floor,Row P,,
Quarterly Reviews,v3-20,1968-1988,4th Floor,Row D,,
Quarterly Reviews of BioPhysics,v1-27,1947-1948,4th Floor,Row D,,
Quarterly Reviews: London,,1883-1892,1st Floor,Row P,,
Quarterly Therapeutic Review,,1880-1882,1st Floor,Row P,,
Quarterly Transactions: Lancaster County Medical Society,,1913,1st Floor,Row P,,
Quarterly Woman's Municipal League,,1949-1972,1st Floor,Row P,,
"Quarterly, Chicago Medical School",v11-31,"1921-1935, 1937-1938",4th Floor,Row C,,
Quarterly: Minnesota Educational Philanthropic Correctional and Penal Institutions,,1941,1st Floor,Row P,,
Quarterly: Society of the New York Hospital,,"1923-1942, 1947",1st Floor,Row P,,
Quartz Lamp,,1951-59,1st Floor,Row P,,
Queens County Dental Society Bulletin,v9-17,1924-1938,4th Floor,Row D,,
Queen's Hospital Bulletin (Honolulu),,1903-1909,1st Floor,Row P,,
Queen's Medical Quarterly (Canada),,1964-65,1st Floor,Row P,,
Queensboro Tuberculosis & Health Association.  Annual Report,,1931-1939,4th Floor,Row D,,
Questions Medicales d' actualite,,1924-1947,1st Floor,Row P,,
Quincy Medical Bulletin,,1949-1968-,1st Floor,Row P,,
Quincy Medical Bulletin,v24-43,1904-1914,4th Floor,Row D,,
Quinzaine Therapeutique,,1957-59,1st Floor,Row P,,
Quoi de Nouveau en Pratique Medicale,,1949-77,4th Floor,Row D,,
"R.P.A.(Royal Prince Alfred Hospital, Sydney)",v47-75,1903-1906,4th Floor,Row J,,
Raboty Gospitalnoy Khirurgicheskoy Kliniki,,1951-54,1st Floor,Row P,,
"Raboty, Nauchnaya Sessiya Tsentralnogo Nauchno-IssledovatelskogomInstituta Protezirovaniya I Protezosotroeniya",v2-4,1915-1919,4th Floor,Row D,,
Raccolita di Memorie Biologiche,,1902,1st Floor,Row P,,
"Raccolita di Memorie Italiane sulla Larignologia, Rinologia",,1930,1st Floor,Row P,,
Race et les moeurs,,1967-1975,1st Floor,Row P,,
Radiating Light of Truth on Hansons Disease,,1958,AR,HALLWAY,,
Radiation Biology and Cancer,v12,1960,4th Floor,Row D,,
Radiation Bulletin. New York,no. 1,1983-2005,4th Floor,Row D,,
Radiation Medicine,v1-23,1954-1991,4th Floor,Row D,,
Radiation Research,v1-128,1959-1967,4th Floor,Row D,,
Radiation Research. Suppl.,v1-7,1940-1941,4th Floor,Row D,,
Radiation Therapy,,1962,1st Floor,Row P,,
Radiazioni de Alta Energia,1,"1988-1990, 1991",4th Floor,Row D,,
Radibiologia Diagnostica,,1960-1990,AR,SHELF RANGE 4- Side B,,
Radiobiolgoia Radiotherapia,,1935-1936,AR,SHELF RANGE 4- Side B,,
Radiobiologia Generalis,,1963-1970,1st Floor,Row P,,
Radiobiologia Raditherapia e Fisica Medica,,1932-1934,AR,SHELF RANGE 4- Side B,,
Radiobiologica,,1962-1990,1st Floor,Row P,,
Radiobiologija,,1960,AR,SHELF RANGE 4- Side B,,
RadioChemistry - Radiokhimiya,v1,1941-1943,4th Floor,Row D,,
Radiografia y Fotografia Clinicas,,1935-1948,1st Floor,Row P,,
Radiography,,1949-1987,1st Floor,Row P,,
Radiography,v15-53,1929-1945,4th Floor,Row D,,
Radiography and Clinical Photography,,1961-89,1st Floor,Row P,,
Radiologe,v1-29,1942-1947,4th Floor,Row D,,
Radiologia,,1948-1951,1st Floor,Row P,,
Radiologia Austriaca,,1952-68,1st Floor,Row P,,
Radiologia Austriaca,v5-18,1939-1949,4th Floor,Row D,,
Radiologia Clinica,,1950-1978,1st Floor,Row P,,
Radiologia Clinica,v19-47,1965-74,4th Floor,Row D,,
Radiologia Clinica Et Biologica,v34-43,1960-89,4th Floor,Row D,,
Radiologia Diagnostica,v1-30,1914-1949,4th Floor,Row D,,
Radiologia Medica,,1950-81,1st Floor,Row P,,
Radiologia Medica,v36-67,1958-60,4th Floor,Row D,,
Radiologia Practica,v8-10,1957-58,4th Floor,Row D,,
Radiologia.,v8,1963-2001,4th Floor,Row D,,
Radiologic Clinics of North America,"v1,no.1-39,no.3",1936-1938,4th Floor,Row D,,
Radiologic Review and Mississippi Valley Medical Journal,,1963-90,1st Floor,Row P,,
Radiologic Technology,v35-61,1937-1938,4th Floor,Row D,,
Radiologica,,1946-1949,1st Floor,Row P,,
Radiologica Cancerologica,,1924-1926,1st Floor,Row P,,
Radiologica Review,,1966,1st Floor,Row P,,
Radiological Health,no. 1,1961-68,4th Floor,Row D,,
Radiological Health News,v1-7,1973-75;1976-98,4th Floor,Row D,,
Radiological Protection Bulletin,no.5-12;14-208,1927-1925,4th Floor,Row D,,
Radiological Review and the Chicago Medical Recorder,,1987-1991,1st Floor,Row P,,
Radiologie,,1946,AR,SHELF RANGE 4- Side B,,
Radiologie Pratique,,1932-1938,1st Floor,Row P,,
Radiologische Rundschau,,1923-1931,1st Floor,Row P,,
Radiology,,1977-2000,1st Floor,Row P,,
Radiology,,1950-1976,1st Floor,Row X,,
Radiology,v54-121,,4th Floor,Row D,,
Radiology,v122-247,1931-1949,4th Floor,Row D,,
Radiololgy,,1950,1st Floor,Row Q,,
Radio-Perception.,"v9,no69-70",1942-1947,4th Floor,Row D,,
Radiophysiologie Experimentale Cancer et Hormones,,1950,1st Floor,Row Q,,
Radiophysiologie Experimentale Cancer et Hormones,,1913-1925,4th Floor,Row D,,
Radium,,1929,1st Floor,Row Q,,
Radium Digest,,1912-1913,1st Floor,Row Q,,
Radium in Biologie und Heilkunde,,1913,1st Floor,Row Q,,
Radium Therapie,,1922-1923,1st Floor,Row Q,,
Radium Therapist,,1953,1st Floor,Row Q,,
Radovi . Sarajevo,v1 ,"1953,55",4th Floor,Row D,,
Radovi Medicinskog fakulteta u Zagrebu,v1,1936-1941,4th Floor,Row D,,
Radyans 'ka meditsina,,1925-1933,1st Floor,Row Q,,
Raggi ultravioletti,,1894-1904,1st Floor,Row Q,,
Railway Surgeon,,"1910-1911, 1915",1st Floor,Row Q,,
Railway Surgeon: Journal of the Kentucky State Association of Railway Surgeons,,1904-1921,1st Floor,Row Q,,
Railway Surgical Journal,,1965-67,1st Floor,Row Q,,
Rajasthan Medical Journal,v5-7,1907-1914,4th Floor,Row D,,
Ramazzini,,"1944-1945, 1947",1st Floor,Row Q,,
Ramsay County Medical Society,,"1898-1903, 1933",1st Floor,Row Q,,
Rapport Annuel Commission Permanente de l'Hygiene de L'enfance,,1843-1846,1st Floor,Row Q,,
Rapport Annuel sur les Progres de la chimie,,1935,1st Floor,Row Q,,
Rapport et Informations Association Francaise D'Urologie,,1976-74; 1977-78,1st Floor,Row Q,,
Rapport Final de la Conference Technique de L'0.C.C.G.E.,v7-14; 17-18,1965-76,4th Floor,Row D,,
Rapport Final de la Conference Technique de L'0.C.E.A.C.,v1-11,1813-1814,4th Floor,Row D,,
Rapport sur les Travaux de la Societe Academique de Medecine de Marseille,,"1951, 1953",1st Floor,Row Q,,
Rapports … Congres des pediatres de Langue Francaise,"v13-14,no.1-2",1954-58; 1975,4th Floor,Row D,,
Rapports Assises Francaises de Gynecologie,"v17-19,27",1957-65,4th Floor,Row D,,
Rapports Association des Pediatres de Langue Francaise,v16-20,"1894-1938, 1949",4th Floor,Row D,,
Rapports Congres Francais de Medecine,,1953-77,1st Floor,Row Q,,
Rapports Congres Francais de Medecine,v29-41,1936,4th Floor,Row D,,
Rapports Congres Francais de Stomatologie,,"1863-1865, 1872",1st Floor,Row Q,,
Rapports Congres Medical de France,,"1929-1938, 1949",1st Floor,Row Q,,
Rapports Congres Pediatres de Langue Francaise,,1970-74,1st Floor,Row Q,,
Rapports de Congres Nabonal de la Tuberculose et des Maladies resporatires,v16-17,1953-71,4th Floor,Row D,,
Rapports de la Reunion Endocrinologistes de Langue Francaise,v2-11,1952,4th Floor,Row D,,
"Rapports du (1er) Congres ""Nature et Sante""",v1,"1924-1938, 1946-1949",4th Floor,Row D,,
Rapports est Comptes Rendus Congres Francais de Otorhinolarygologie,,1957-63,1st Floor,Row Q,,
Rapports et Comptes Rednus de la Congres Francaise Stomatologie,v15-18,"1950-1956,1957-78",4th Floor,Row D,,
Rapports et Comptes Rednus de la Societe Francaise D'Otorhinolaryngologie,"v55,no.1-2-75","1905-1906, 1909, 1913",4th Floor,Row D,,
Rapports et Comptes Rendus Congres Belge de Neurologie et de Psychiatrie,,"1933-1934, 1945-1946",1st Floor,Row Q,,
Rapports et Comptes Rendus Congres Francais de Gynecologie,,"1907, 1911",1st Floor,Row Q,,
Rapports et Comptes Rendus Congres Francais de Stomatologie,,1929-1939,1st Floor,Row Q,,
Rapports et Discusionjs du Congres National de la Tuberculosis,,1958-66,1st Floor,Row Q,,
Rapports et Discussions du Congres Nationsl de la Tuberculose,v12-15,1969-71,4th Floor,Row D,,
"Rapports, Journees Medicales De France",,1991,4th Floor,Row D,,
RASD Update,"v12, no. 4",1934,4th Floor,Row D,,
Rasse: Monatsschrift der Nordischen Bewegung,,1949,1st Floor,Row Q,,
Rassegna Bibliografica della Stampa Ostetrico-Ginecologica,,1959-1989,1st Floor,Row Q,,
"Rassegna Clinico Scientifica dell, Istituto, Biochimica Italiano",v35-65,"1926-1940, 1947",4th Floor,Row D,,
Rassegna Clinico-Scioentifica dell' Istituto Biochemico Italiano,,1939-1940,1st Floor,Row Q,,
Rassegna dell' Africa Italiana,,1922-1927,1st Floor,Row Q,,
Rassegna dell Assistenza Agli Invalidi gia Bollettino della Federazione Nazionale,,1902,1st Floor,Row Q,,
Rassegna della educazione dei sordomuti,,1932-1940,1st Floor,Row Q,,
Rassegna della Previdenza Sociale,,1940,1st Floor,Row Q,,
Rassegna della sicurezza e dell'igiene del lavoro,,1919-1922,1st Floor,Row Q,,
Rassegna delle Scienze Biologiche,,1907,1st Floor,Row Q,,
Rassegna di Bacterio-opeo Sieroterapia,,1950-66,1st Floor,Row Q,,
Rassegna di Clinica terapia e Scienze Affini,v49-65,"1909-1911, 1917, 1920-1949",4th Floor,Row D,,
"Rassegna di Clinica, Terapia e Scienze Affini",,1952-1960,1st Floor,Row Q,,
Rassegna di Fisiopatalogia Clinica E Terapeutica,v24-32,"1940, 1945",4th Floor,Row D,,
Rassegna di Fisiopatologica clinica e terapeutica,,1930-1948,1st Floor,Row Q,,
Rassegna di Medicina Applicata al Lavoro Industriale,,1949-64,1st Floor,Row Q,,
Rassegna di Medicina Industriale,v18-33,1959-88,4th Floor,Row E,,
Rassegna di Medicina Sperimentale,v6-35,1938-1949,4th Floor,Row E,,
Rassegna di Neurologia Vegetativa,,1950-69,1st Floor,Row Q,,
Rassegna di Neurologia Vegetative,v8-23,1947-1948,4th Floor,Row E,,
Rassegna di Neuro-Psichaitria,,1940-1941,1st Floor,Row Q,,
Rassegna di Oncologia,,1911-1934,1st Floor,Row Q,,
Rassegna di Studi Psichiatrici,,1921-1930,1st Floor,North Wall,,
Rassegna di Studi sessuali,,1929-1936,1st Floor,Row Q,,
Rassegna di Terapia e Patologia Clinica,,"1893, 1900-1940",1st Floor,Row Q,,
Rassegna d'Ostetricia e Ginecologia,,1945-1949,1st Floor,Row Q,,
Rassegna Giuliana de Medicina,,1950-59,1st Floor,Row Q,,
Rassegna Giuliana Di Medicina,v6-15,1900-1906,4th Floor,Row D,,
Rassegna Internazionale della Medicina Moderna,,"19,581,966",1st Floor,Row Q,,
Rassegna internazionale di Clinica e Terapia,"v38,46",1950-1981,4th Floor,Row D,,
Rassegna Internazionale di Clinica e Terapia,30-61,1932-1940,4th Floor,Back Wall (started at East End),,
